pair_id,real_video,fake_video,face_source_id,real_frames_path,fake_frames_path,real_num_frames,fake_num_frames,real_drive,fake_drive,real_status,fake_status,both_complete
19,id1_0000,id0_id1_0000,0,H:\Celeb-real FRAMES\id1_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0000,371,469,H:,J:,complete,complete,yes
20,id1_0001,id0_id1_0001,0,H:\Celeb-real FRAMES\id1_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0001,276,303,H:,J:,complete,complete,yes
21,id1_0002,id0_id1_0002,0,H:\Celeb-real FRAMES\id1_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0002,400,350,H:,J:,complete,complete,yes
22,id1_0003,id0_id1_0003,0,H:\Celeb-real FRAMES\id1_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0003,451,529,H:,J:,complete,complete,yes
23,id1_0005,id0_id1_0005,0,H:\Celeb-real FRAMES\id1_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0005,422,459,H:,J:,complete,complete,yes
24,id1_0006,id0_id1_0006,0,H:\Celeb-real FRAMES\id1_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0006,505,534,H:,J:,complete,complete,yes
25,id1_0007,id0_id1_0007,0,H:\Celeb-real FRAMES\id1_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0007,328,479,H:,J:,complete,complete,yes
26,id1_0009,id0_id1_0009,0,H:\Celeb-real FRAMES\id1_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0009,412,520,H:,J:,complete,complete,yes
27,id20_0000,id0_id20_0000,0,H:\Celeb-real FRAMES\id20_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0000,315,469,H:,J:,complete,complete,yes
28,id20_0001,id0_id20_0001,0,H:\Celeb-real FRAMES\id20_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0001,306,303,H:,J:,complete,complete,yes
29,id20_0002,id0_id20_0002,0,H:\Celeb-real FRAMES\id20_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0002,311,350,H:,J:,complete,complete,yes
30,id20_0003,id0_id20_0003,0,H:\Celeb-real FRAMES\id20_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0003,337,529,H:,J:,complete,complete,yes
31,id20_0004,id0_id20_0004,0,H:\Celeb-real FRAMES\id20_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0004,325,326,H:,J:,complete,complete,yes
32,id20_0005,id0_id20_0005,0,H:\Celeb-real FRAMES\id20_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0005,324,459,H:,J:,complete,complete,yes
33,id20_0006,id0_id20_0006,0,H:\Celeb-real FRAMES\id20_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0006,328,534,H:,J:,complete,complete,yes
34,id20_0007,id0_id20_0007,0,H:\Celeb-real FRAMES\id20_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0007,347,479,H:,J:,complete,complete,yes
35,id20_0009,id0_id20_0009,0,H:\Celeb-real FRAMES\id20_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0009,334,520,H:,J:,complete,complete,yes
36,id21_0000,id0_id21_0000,0,H:\Celeb-real FRAMES\id21_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0000,234,469,H:,J:,complete,complete,yes
37,id21_0001,id0_id21_0001,0,H:\Celeb-real FRAMES\id21_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0001,262,303,H:,J:,complete,complete,yes
38,id21_0002,id0_id21_0002,0,H:\Celeb-real FRAMES\id21_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0002,334,350,H:,J:,complete,complete,yes
39,id21_0003,id0_id21_0003,0,H:\Celeb-real FRAMES\id21_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0003,178,529,H:,J:,complete,complete,yes
40,id21_0004,id0_id21_0004,0,H:\Celeb-real FRAMES\id21_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0004,225,326,H:,J:,complete,complete,yes
41,id21_0005,id0_id21_0005,0,H:\Celeb-real FRAMES\id21_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0005,165,459,H:,J:,complete,complete,yes
42,id21_0006,id0_id21_0006,0,H:\Celeb-real FRAMES\id21_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0006,359,534,H:,J:,complete,complete,yes
43,id21_0007,id0_id21_0007,0,H:\Celeb-real FRAMES\id21_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0007,317,479,H:,J:,complete,complete,yes
44,id21_0009,id0_id21_0009,0,H:\Celeb-real FRAMES\id21_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0009,319,520,H:,J:,complete,complete,yes
45,id23_0000,id0_id23_0000,0,H:\Celeb-real FRAMES\id23_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0000,318,469,H:,J:,complete,complete,yes
46,id23_0001,id0_id23_0001,0,H:\Celeb-real FRAMES\id23_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0001,309,303,H:,J:,complete,complete,yes
47,id23_0002,id0_id23_0002,0,H:\Celeb-real FRAMES\id23_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0002,319,350,H:,J:,complete,complete,yes
48,id23_0004,id0_id23_0004,0,H:\Celeb-real FRAMES\id23_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0004,307,326,H:,J:,complete,complete,yes
49,id23_0005,id0_id23_0005,0,H:\Celeb-real FRAMES\id23_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0005,308,459,H:,J:,complete,complete,yes
50,id23_0007,id0_id23_0007,0,H:\Celeb-real FRAMES\id23_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0007,306,479,H:,J:,complete,complete,yes
51,id23_0009,id0_id23_0009,0,H:\Celeb-real FRAMES\id23_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id23_0009,316,520,H:,J:,complete,complete,yes
52,id26_0000,id0_id26_0000,0,H:\Celeb-real FRAMES\id26_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0000,327,469,H:,J:,complete,complete,yes
53,id26_0001,id0_id26_0001,0,H:\Celeb-real FRAMES\id26_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0001,320,303,H:,J:,complete,complete,yes
54,id26_0002,id0_id26_0002,0,H:\Celeb-real FRAMES\id26_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0002,322,350,H:,J:,complete,complete,yes
55,id26_0003,id0_id26_0003,0,H:\Celeb-real FRAMES\id26_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0003,249,529,H:,J:,complete,complete,yes
56,id26_0004,id0_id26_0004,0,H:\Celeb-real FRAMES\id26_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0004,350,326,H:,J:,complete,complete,yes
57,id26_0005,id0_id26_0005,0,H:\Celeb-real FRAMES\id26_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0005,336,459,H:,J:,complete,complete,yes
58,id26_0006,id0_id26_0006,0,H:\Celeb-real FRAMES\id26_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0006,307,534,H:,J:,complete,complete,yes
59,id26_0007,id0_id26_0007,0,H:\Celeb-real FRAMES\id26_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0007,338,479,H:,J:,complete,complete,yes
60,id26_0008,id0_id26_0008,0,H:\Celeb-real FRAMES\id26_0008,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0008,318,464,H:,J:,complete,complete,yes
61,id26_0009,id0_id26_0009,0,H:\Celeb-real FRAMES\id26_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id26_0009,334,520,H:,J:,complete,complete,yes
62,id28_0000,id0_id28_0000,0,H:\Celeb-real FRAMES\id28_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0000,330,469,H:,J:,complete,complete,yes
63,id28_0001,id0_id28_0001,0,H:\Celeb-real FRAMES\id28_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0001,333,303,H:,J:,complete,complete,yes
64,id28_0002,id0_id28_0002,0,H:\Celeb-real FRAMES\id28_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0002,310,350,H:,J:,complete,complete,yes
65,id28_0003,id0_id28_0003,0,H:\Celeb-real FRAMES\id28_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0003,332,529,H:,J:,complete,complete,yes
66,id28_0004,id0_id28_0004,0,H:\Celeb-real FRAMES\id28_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0004,311,326,H:,J:,complete,complete,yes
67,id28_0005,id0_id28_0005,0,H:\Celeb-real FRAMES\id28_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0005,332,459,H:,J:,complete,complete,yes
68,id28_0006,id0_id28_0006,0,H:\Celeb-real FRAMES\id28_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0006,323,534,H:,J:,complete,complete,yes
69,id28_0007,id0_id28_0007,0,H:\Celeb-real FRAMES\id28_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0007,301,479,H:,J:,complete,complete,yes
70,id28_0008,id0_id28_0008,0,H:\Celeb-real FRAMES\id28_0008,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0008,342,464,H:,J:,complete,complete,yes
71,id28_0009,id0_id28_0009,0,H:\Celeb-real FRAMES\id28_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id28_0009,331,520,H:,J:,complete,complete,yes
72,id2_0000,id0_id2_0000,0,H:\Celeb-real FRAMES\id2_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0000,445,469,H:,J:,complete,complete,yes
73,id2_0001,id0_id2_0001,0,H:\Celeb-real FRAMES\id2_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0001,376,303,H:,J:,complete,complete,yes
74,id2_0002,id0_id2_0002,0,H:\Celeb-real FRAMES\id2_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0002,361,350,H:,J:,complete,complete,yes
75,id2_0003,id0_id2_0003,0,H:\Celeb-real FRAMES\id2_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0003,383,529,H:,J:,complete,complete,yes
76,id2_0004,id0_id2_0004,0,H:\Celeb-real FRAMES\id2_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0004,425,326,H:,J:,complete,complete,yes
77,id2_0005,id0_id2_0005,0,H:\Celeb-real FRAMES\id2_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0005,307,459,H:,J:,complete,complete,yes
78,id2_0006,id0_id2_0006,0,H:\Celeb-real FRAMES\id2_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0006,380,534,H:,J:,complete,complete,yes
79,id2_0007,id0_id2_0007,0,H:\Celeb-real FRAMES\id2_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0007,470,479,H:,J:,complete,complete,yes
80,id2_0008,id0_id2_0008,0,H:\Celeb-real FRAMES\id2_0008,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0008,516,464,H:,J:,complete,complete,yes
81,id2_0009,id0_id2_0009,0,H:\Celeb-real FRAMES\id2_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id2_0009,322,520,H:,J:,complete,complete,yes
82,id3_0000,id0_id3_0000,0,H:\Celeb-real FRAMES\id3_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0000,458,469,H:,J:,complete,complete,yes
83,id3_0001,id0_id3_0001,0,H:\Celeb-real FRAMES\id3_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0001,380,303,H:,J:,complete,complete,yes
84,id3_0002,id0_id3_0002,0,H:\Celeb-real FRAMES\id3_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0002,428,350,H:,J:,complete,complete,yes
85,id3_0003,id0_id3_0003,0,H:\Celeb-real FRAMES\id3_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0003,372,529,H:,J:,complete,complete,yes
86,id3_0004,id0_id3_0004,0,H:\Celeb-real FRAMES\id3_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0004,499,326,H:,J:,complete,complete,yes
87,id3_0005,id0_id3_0005,0,H:\Celeb-real FRAMES\id3_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0005,398,459,H:,J:,complete,complete,yes
88,id3_0006,id0_id3_0006,0,H:\Celeb-real FRAMES\id3_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0006,409,534,H:,J:,complete,complete,yes
89,id3_0007,id0_id3_0007,0,H:\Celeb-real FRAMES\id3_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0007,361,479,H:,J:,complete,complete,yes
90,id3_0008,id0_id3_0008,0,H:\Celeb-real FRAMES\id3_0008,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0008,458,464,H:,J:,complete,complete,yes
91,id3_0009,id0_id3_0009,0,H:\Celeb-real FRAMES\id3_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id3_0009,497,520,H:,J:,complete,complete,yes
92,id4_0000,id0_id4_0000,0,H:\Celeb-real FRAMES\id4_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0000,477,469,H:,J:,complete,complete,yes
93,id4_0001,id0_id4_0001,0,H:\Celeb-real FRAMES\id4_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0001,459,303,H:,J:,complete,complete,yes
94,id4_0002,id0_id4_0002,0,H:\Celeb-real FRAMES\id4_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0002,491,350,H:,J:,complete,complete,yes
95,id4_0003,id0_id4_0003,0,H:\Celeb-real FRAMES\id4_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0003,444,529,H:,J:,complete,complete,yes
96,id4_0004,id0_id4_0004,0,H:\Celeb-real FRAMES\id4_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0004,439,326,H:,J:,complete,complete,yes
97,id4_0005,id0_id4_0005,0,H:\Celeb-real FRAMES\id4_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0005,467,459,H:,J:,complete,complete,yes
98,id4_0006,id0_id4_0006,0,H:\Celeb-real FRAMES\id4_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0006,304,534,H:,J:,complete,complete,yes
99,id4_0009,id0_id4_0009,0,H:\Celeb-real FRAMES\id4_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id4_0009,483,520,H:,J:,complete,complete,yes
100,id6_0000,id0_id6_0000,0,H:\Celeb-real FRAMES\id6_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id6_0000,630,469,H:,J:,complete,complete,yes
101,id6_0001,id0_id6_0001,0,H:\Celeb-real FRAMES\id6_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id6_0001,323,303,H:,J:,complete,complete,yes
102,id6_0002,id0_id6_0002,0,H:\Celeb-real FRAMES\id6_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id6_0002,611,350,H:,J:,complete,complete,yes
103,id6_0006,id0_id6_0006,0,H:\Celeb-real FRAMES\id6_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id6_0006,294,534,H:,J:,complete,complete,yes
104,id6_0007,id0_id6_0007,0,H:\Celeb-real FRAMES\id6_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id6_0007,557,479,H:,J:,complete,complete,yes
105,id6_0009,id0_id6_0009,0,H:\Celeb-real FRAMES\id6_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id6_0009,530,520,H:,J:,complete,complete,yes
106,id9_0000,id0_id9_0000,0,H:\Celeb-real FRAMES\id9_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0000,448,469,H:,J:,complete,complete,yes
107,id9_0001,id0_id9_0001,0,H:\Celeb-real FRAMES\id9_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0001,437,303,H:,J:,complete,complete,yes
108,id9_0002,id0_id9_0002,0,H:\Celeb-real FRAMES\id9_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0002,364,350,H:,J:,complete,complete,yes
109,id9_0003,id0_id9_0003,0,H:\Celeb-real FRAMES\id9_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0003,492,529,H:,J:,complete,complete,yes
110,id9_0005,id0_id9_0005,0,H:\Celeb-real FRAMES\id9_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0005,420,459,H:,J:,complete,complete,yes
111,id9_0006,id0_id9_0006,0,H:\Celeb-real FRAMES\id9_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0006,401,534,H:,J:,complete,complete,yes
112,id9_0007,id0_id9_0007,0,H:\Celeb-real FRAMES\id9_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0007,456,479,H:,J:,complete,complete,yes
113,id9_0008,id0_id9_0008,0,H:\Celeb-real FRAMES\id9_0008,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0008,461,464,H:,J:,complete,complete,yes
114,id9_0009,id0_id9_0009,0,H:\Celeb-real FRAMES\id9_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id9_0009,314,520,H:,J:,complete,complete,yes
115,id11_0001,id10_id11_0001,10,H:\Celeb-real FRAMES\id11_0001,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0001,441,105,H:,J:,complete,complete,yes
116,id11_0002,id10_id11_0002,10,H:\Celeb-real FRAMES\id11_0002,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0002,357,322,H:,J:,complete,complete,yes
117,id11_0003,id10_id11_0003,10,H:\Celeb-real FRAMES\id11_0003,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0003,313,343,H:,J:,complete,complete,yes
118,id11_0004,id10_id11_0004,10,H:\Celeb-real FRAMES\id11_0004,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0004,350,517,H:,J:,complete,complete,yes
119,id11_0005,id10_id11_0005,10,H:\Celeb-real FRAMES\id11_0005,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0005,327,318,H:,J:,complete,complete,yes
120,id11_0006,id10_id11_0006,10,H:\Celeb-real FRAMES\id11_0006,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0006,316,161,H:,J:,complete,complete,yes
121,id11_0007,id10_id11_0007,10,H:\Celeb-real FRAMES\id11_0007,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0007,320,496,H:,J:,complete,complete,yes
122,id11_0008,id10_id11_0008,10,H:\Celeb-real FRAMES\id11_0008,J:\DF\FR\Celeb-synthesis FRAMES\id10_id11_0008,371,380,H:,J:,complete,complete,yes
123,id12_0001,id10_id12_0001,10,H:\Celeb-real FRAMES\id12_0001,J:\DF\FR\Celeb-synthesis FRAMES\id10_id12_0001,398,105,H:,J:,complete,complete,yes
124,id12_0002,id10_id12_0002,10,H:\Celeb-real FRAMES\id12_0002,J:\DF\FR\Celeb-synthesis FRAMES\id10_id12_0002,364,322,H:,J:,complete,complete,yes
125,id12_0003,id10_id12_0003,10,H:\Celeb-real FRAMES\id12_0003,J:\DF\FR\Celeb-synthesis FRAMES\id10_id12_0003,379,343,H:,J:,complete,complete,yes
126,id12_0004,id10_id12_0004,10,H:\Celeb-real FRAMES\id12_0004,J:\DF\FR\Celeb-synthesis FRAMES\id10_id12_0004,339,517,H:,J:,complete,complete,yes
127,id12_0005,id10_id12_0005,10,H:\Celeb-real FRAMES\id12_0005,J:\DF\FR\Celeb-synthesis FRAMES\id10_id12_0005,314,318,H:,J:,complete,complete,yes
128,id12_0006,id10_id12_0006,10,H:\Celeb-real FRAMES\id12_0006,J:\DF\FR\Celeb-synthesis FRAMES\id10_id12_0006,308,161,H:,J:,complete,complete,yes
129,id13_0001,id10_id13_0001,10,H:\Celeb-real FRAMES\id13_0001,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0001,349,105,H:,J:,complete,complete,yes
130,id13_0002,id10_id13_0002,10,H:\Celeb-real FRAMES\id13_0002,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0002,400,322,H:,J:,complete,complete,yes
131,id13_0003,id10_id13_0003,10,H:\Celeb-real FRAMES\id13_0003,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0003,340,343,H:,J:,complete,complete,yes
132,id13_0004,id10_id13_0004,10,H:\Celeb-real FRAMES\id13_0004,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0004,352,517,H:,J:,complete,complete,yes
133,id13_0005,id10_id13_0005,10,H:\Celeb-real FRAMES\id13_0005,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0005,309,318,H:,J:,complete,complete,yes
134,id13_0006,id10_id13_0006,10,H:\Celeb-real FRAMES\id13_0006,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0006,333,161,H:,J:,complete,complete,yes
135,id13_0007,id10_id13_0007,10,H:\Celeb-real FRAMES\id13_0007,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0007,452,496,H:,J:,complete,complete,yes
136,id13_0008,id10_id13_0008,10,H:\Celeb-real FRAMES\id13_0008,J:\DF\FR\Celeb-synthesis FRAMES\id10_id13_0008,459,380,H:,J:,complete,complete,yes
137,id7_0001,id10_id7_0001,10,H:\Celeb-real FRAMES\id7_0001,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0001,295,105,H:,J:,complete,complete,yes
138,id7_0002,id10_id7_0002,10,H:\Celeb-real FRAMES\id7_0002,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0002,270,322,H:,J:,complete,complete,yes
139,id7_0003,id10_id7_0003,10,H:\Celeb-real FRAMES\id7_0003,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0003,555,343,H:,J:,complete,complete,yes
140,id7_0004,id10_id7_0004,10,H:\Celeb-real FRAMES\id7_0004,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0004,740,517,H:,J:,complete,complete,yes
141,id7_0005,id10_id7_0005,10,H:\Celeb-real FRAMES\id7_0005,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0005,161,318,H:,J:,complete,complete,yes
142,id7_0006,id10_id7_0006,10,H:\Celeb-real FRAMES\id7_0006,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0006,214,161,H:,J:,complete,complete,yes
143,id7_0007,id10_id7_0007,10,H:\Celeb-real FRAMES\id7_0007,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0007,415,496,H:,J:,complete,complete,yes
144,id7_0008,id10_id7_0008,10,H:\Celeb-real FRAMES\id7_0008,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0008,291,380,H:,J:,complete,complete,yes
145,id7_0009,id10_id7_0009,10,H:\Celeb-real FRAMES\id7_0009,J:\DF\FR\Celeb-synthesis FRAMES\id10_id7_0009,458,535,H:,J:,complete,complete,yes
146,id7_0000,id11_id7_0000,11,H:\Celeb-real FRAMES\id7_0000,J:\DF\FR\Celeb-synthesis FRAMES\id11_id7_0000,280,349,H:,J:,complete,complete,yes
147,id7_0001,id11_id7_0001,11,H:\Celeb-real FRAMES\id7_0001,J:\DF\FR\Celeb-synthesis FRAMES\id11_id7_0001,295,441,H:,J:,complete,complete,yes
148,id7_0002,id11_id7_0002,11,H:\Celeb-real FRAMES\id7_0002,J:\DF\FR\Celeb-synthesis FRAMES\id11_id7_0002,270,357,H:,J:,complete,complete,yes
149,id7_0003,id11_id7_0003,11,H:\Celeb-real FRAMES\id7_0003,J:\DF\FR\Celeb-synthesis FRAMES\id11_id7_0003,555,313,H:,J:,complete,complete,yes
150,id7_0004,id11_id7_0004,11,H:\Celeb-real FRAMES\id7_0004,J:\DF\FR\Celeb-synthesis FRAMES\id11_id7_0004,740,337,H:,J:,complete,complete,yes
